id,1_left,1_top,1_status,2_left,2_top,2_status,3_left,3_top,3_status,4_left,4_top,4_status,5_left,5_top,5_status,6_left,6_top,6_status,7_left,7_top,7_status,8_left,8_top,8_status,9_left,9_top,9_status,10_left,10_top,10_status,11_left,11_top,11_status,12_left,12_top,12_status,13_left,13_top,13_status,14_left,14_top,14_status,15_left,15_top,15_status,16_left,16_top,16_status,17_left,17_top,17_status,18_left,18_top,18_status,19_left,19_top,19_status,20_left,20_top,20_status,21_left,21_top,21_status,22_left,22_top,22_status,23_left,23_top,23_status,24_left,24_top,24_status,25_left,25_top,25_status,26_left,26_top,26_status,27_left,27_top,27_status,28_left,28_top,28_status,29_left,29_top,29_status,30_left,30_top,30_status,31_left,31_top,31_status,32_left,32_top,32_status,33_left,33_top,33_status,34_left,34_top,34_status,35_left,35_top,35_status,36_left,36_top,36_status,37_left,37_top,37_status,38_left,38_top,38_status,39_left,39_top,39_status,40_left,40_top,40_status,41_left,41_top,41_status,42_left,42_top,42_status,43_left,43_top,43_status,44_left,44_top,44_status,45_left,45_top,45_status,46_left,46_top,46_status,47_left,47_top,47_status,48_left,48_top,48_status,amount
seven_card_stud_setup_0,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-840,-596,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,166,-596,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,793,-190,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,720,510,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-255,510,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-895,120,,0
seven_card_stud_setup_1,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-840,-596,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,166,-596,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,793,-190,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,720,510,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-255,510,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-895,120,,0
seven_card_stud_setup_2,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-840,-596,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,166,-596,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,793,-190,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,720,510,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-255,510,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-895,120,,0
seven_card_stud_setup_3,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-840,-596,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,166,-596,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,793,-190,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,720,510,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-255,510,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-895,120,,0
seven_card_stud_setup_4,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-730,-396,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,176,-336,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,593,-90,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,620,310,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-355,310,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-695,20,,0
seven_card_stud_third_street_0,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_1,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_2,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,820,440,,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_3,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,440,280,active,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_4,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,440,280,active,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-155,440,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_5,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,440,280,active,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-455,280,active,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-850,180,,-850,190,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_6,-936,-556,,-936,-546,,-936,-666,,-936,-656,,-936,-646,,-936,-636,,-936,-536,,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,440,280,active,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-455,280,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-690,-100,active,-690,0,active,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_7,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,65,-556,,65,-546,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,740,-300,,740,-290,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,440,280,active,820,450,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-455,280,,-155,450,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-690,-100,active,-690,0,active,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_third_street_8,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,345,-356,active,245,-356,active,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,590,-10,active,590,-110,active,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,440,280,active,550,280,active,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-455,280,,-345,280,active,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-690,-100,active,-690,0,active,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,3
seven_card_stud_fourth_street_0,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-275,,-370,-265,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,-370,-255,,-370,-245,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,-370,-235,,-370,-225,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-370,-215,,-370,-205,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-370,-195,,-370,-185,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,53
seven_card_stud_fourth_street_1,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-275,,-370,-265,,65,-666,,65,-656,,65,-646,,65,-636,,65,-536,,-260,-225,,-370,-255,,-370,-245,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,-370,-235,,-370,-225,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-370,-215,,-370,-205,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-370,-195,,-370,-185,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,53
seven_card_stud_fourth_street_2,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-275,,-370,-265,,65,-666,,65,-656,,65,-646,,65,-636,,245,-356,active,-260,-225,,-370,-255,,-370,-245,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,-370,-235,,-370,-225,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-370,-215,,-370,-205,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-370,-195,,-370,-185,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,53
seven_card_stud_fourth_street_3,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-275,,-370,-265,,65,-666,,65,-656,,65,-646,,65,-636,,245,-356,,-260,-225,,-370,-255,,-370,-245,,845,-310,,845,-300,,845,-290,,845,-280,,740,-280,,-260,-215,,-370,-235,,-370,-225,,820,550,,820,560,,820,570,,820,580,,820,460,,-260,-205,,-370,-215,,-370,-205,,-155,550,,-155,560,,-155,570,,-155,580,,-155,460,,-260,-195,,-370,-195,,-370,-185,,-950,170,,-950,180,,-950,190,,-950,200,,-850,200,,-260,-185,,53
seven_card_stud_fourth_street_4,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-275,,-370,-265,,65,-666,,65,-656,,65,-646,,65,-636,,245,-356,,-260,-225,,-370,-255,,-370,-245,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-235,,-370,-225,,820,550,,820,560,,820,570,,820,580,,550,280,active,-260,-205,,-370,-215,,-370,-205,,-155,550,,-155,560,,-155,570,,-155,580,,-345,280,active,-260,-195,,-370,-195,,-370,-185,,-950,170,,-950,180,,-950,190,,-950,200,,-690,0,active,-260,-185,,53
seven_card_stud_fifth_street_0,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,65,-666,,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,820,550,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-155,550,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,170,,-950,180,,-950,190,,-950,200,,-370,-185,,-260,-185,,73
seven_card_stud_fifth_street_1,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,65,-666,,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,820,550,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-155,550,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,170,,-950,180,,-950,190,,-950,200,,-370,-185,,-260,-185,,73
seven_card_stud_fifth_street_2,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,65,-666,,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,610,280,active,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-155,550,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,170,,-950,180,,-950,190,,-950,200,,-370,-185,,-260,-185,,73
seven_card_stud_fifth_street_3,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,65,-666,,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,610,280,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-405,280,active,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,170,,-950,180,,-950,190,,-950,200,,-370,-185,,-260,-185,,73
seven_card_stud_fifth_street_4,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,275,-356,active,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,610,280,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-405,280,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,73
seven_card_stud_sixth_street_0,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-205,,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-195,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-185,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,103
seven_card_stud_sixth_street_1,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-205,,65,-656,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-195,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-185,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,103
seven_card_stud_sixth_street_2,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-205,,275,-356,active,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-195,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-185,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,103
seven_card_stud_sixth_street_3,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-205,,275,-356,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-195,,820,560,,820,570,,820,580,,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-185,,-155,560,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,103
seven_card_stud_sixth_street_4,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-205,,275,-356,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-195,,820,580,fold,820,580,fold,820,580,fold,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-185,,-405,280,active,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,103
seven_card_stud_river_0,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-225,,-480,-215,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-205,,820,580,fold,820,580,fold,820,580,fold,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-195,,-480,-185,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,123
seven_card_stud_river_1,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-225,,-480,-215,,65,-646,,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-205,,820,580,fold,820,580,fold,820,580,fold,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-195,,-480,-185,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,123
seven_card_stud_river_2,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-936,-536,fold,-260,-235,,-370,-315,,-370,-305,,-480,-225,,-480,-215,,275,-356,active,65,-636,,-370,-295,,-260,-225,,-370,-285,,-370,-275,,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,740,-280,fold,-260,-215,,-370,-265,,-370,-255,,-480,-205,,820,580,fold,820,580,fold,820,580,fold,-370,-245,,-260,-205,,-370,-235,,-370,-225,,-480,-195,,-480,-185,,-155,570,,-155,580,,-370,-215,,-260,-195,,-370,-205,,-370,-195,,-950,200,fold,-950,200,fold,-950,200,fold,-950,200,fold,-370,-185,,-260,-185,,123
