step_id,chip_1_left,chip_1_top,chip_1_status,chip_2_left,chip_2_top,chip_2_status,chip_3_left,chip_3_top,chip_3_status,chip_4_left,chip_4_top,chip_4_status,chip_5_left,chip_5_top,chip_5_status,chip_6_left,chip_6_top,chip_6_status,chip_7_left,chip_7_top,chip_7_status,chip_8_left,chip_8_top,chip_8_status,chip_9_left,chip_9_top,chip_9_status,chip_10_left,chip_10_top,chip_10_status,chip_11_left,chip_11_top,chip_11_status,chip_12_left,chip_12_top,chip_12_status,chip_13_left,chip_13_top,chip_13_status,chip_14_left,chip_14_top,chip_14_status,chip_15_left,chip_15_top,chip_15_status,chip_16_left,chip_16_top,chip_16_status,chip_17_left,chip_17_top,chip_17_status,chip_18_left,chip_18_top,chip_18_status,chip_19_left,chip_19_top,chip_19_status,chip_20_left,chip_20_top,chip_20_status,chip_21_left,chip_21_top,chip_21_status,chip_22_left,chip_22_top,chip_22_status,chip_23_left,chip_23_top,chip_23_status,chip_24_left,chip_24_top,chip_24_status,chip_25_left,chip_25_top,chip_25_status,chip_26_left,chip_26_top,chip_26_status,chip_27_left,chip_27_top,chip_27_status,chip_28_left,chip_28_top,chip_28_status,chip_29_left,chip_29_top,chip_29_status,chip_30_left,chip_30_top,chip_30_status,chip_31_left,chip_31_top,chip_31_status,chip_32_left,chip_32_top,chip_32_status,chip_33_left,chip_33_top,chip_33_status,chip_34_left,chip_34_top,chip_34_status,chip_35_left,chip_35_top,chip_35_status,chip_36_left,chip_36_top,chip_36_status,chip_37_left,chip_37_top,chip_37_status,chip_38_left,chip_38_top,chip_38_status,chip_39_left,chip_39_top,chip_39_status,chip_40_left,chip_40_top,chip_40_status,chip_41_left,chip_41_top,chip_41_status,chip_42_left,chip_42_top,chip_42_status,chip_43_left,chip_43_top,chip_43_status,chip_44_left,chip_44_top,chip_44_status,chip_45_left,chip_45_top,chip_45_status,chip_46_left,chip_46_top,chip_46_status,chip_47_left,chip_47_top,chip_47_status,chip_48_left,chip_48_top,chip_48_status,chip_49_left,chip_49_top,chip_49_status,chip_50_left,chip_50_top,chip_50_status,chip_51_left,chip_51_top,chip_51_status,chip_52_left,chip_52_top,chip_52_status,chip_53_left,chip_53_top,chip_53_status,chip_54_left,chip_54_top,chip_54_status,chip_55_left,chip_55_top,chip_55_status,chip_56_left,chip_56_top,chip_56_status,chip_57_left,chip_57_top,chip_57_status,chip_58_left,chip_58_top,chip_58_status,chip_59_left,chip_59_top,chip_59_status,chip_60_left,chip_60_top,chip_60_status
texas_holdem_deal_0,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_deal_1,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_deal_2,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_deal_3,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_deal_4,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_pre_flop_0,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_pre_flop_1,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_pre_flop_2,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_pre_flop_3,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
texas_holdem_pre_flop_4,5,15,passive,5,14,passive,5,13,passive,5,12,passive,5,11,passive,5,10,passive,5,9,passive,5,8,passive,5,7,passive,5,6,passive,54,15,passive,54,14,passive,54,13,passive,54,12,passive,54,11,passive,54,10,passive,54,9,passive,54,8,passive,54,7,passive,54,6,passive,85,30,passive,86,30,passive,87,30,passive,88,30,passive,89,30,passive,90,30,passive,91,30,passive,92,30,passive,93,30,passive,94,30,passive,95,85,passive,95,86,passive,95,87,passive,95,88,passive,95,89,passive,95,90,passive,95,91,passive,95,92,passive,95,93,passive,95,94,passive,52,85,passive,52,86,passive,52,87,passive,52,88,passive,52,89,passive,52,90,passive,52,91,passive,52,92,passive,52,93,passive,52,94,passive,15,70,passive,14,70,passive,13,70,passive,12,70,passive,11,70,passive,10,70,passive,9,70,passive,8,70,passive,7,70,passive,6,70,passive
